Ref,Val,Package,PosX,PosY,Rot,Side
"D1","1N4148W","D_SOD-123",-45.000000,-74.000000,0.000000,bottom
"D2","1N4148W","D_SOD-123",-45.000000,-91.000000,0.000000,bottom
"D3","1N4148W","D_SOD-123",-45.000000,-108.000000,0.000000,bottom
"D4","1N4148W","D_SOD-123",-194.000000,-72.000000,0.000000,bottom
"D5","1N4148W","D_SOD-123",-194.000000,-89.000000,0.000000,bottom
"D6","1N4148W","D_SOD-123",-194.000000,-106.000000,0.000000,bottom
"D7","1N4148W","D_SOD-123",-180.000000,-129.000000,0.000000,bottom
"D8","1N4148W","D_SOD-123",-63.000000,-69.000000,0.000000,bottom
"D9","1N4148W","D_SOD-123",-63.000000,-86.000000,0.000000,bottom
"D10","1N4148W","D_SOD-123",-63.000000,-103.000000,0.000000,bottom
"D11","1N4148W","D_SOD-123",-212.000000,-69.000000,0.000000,bottom
"D12","1N4148W","D_SOD-123",-212.000000,-86.000000,0.000000,bottom
"D13","1N4148W","D_SOD-123",-212.000000,-103.000000,0.000000,bottom
"D14","1N4148W","D_SOD-123",-202.000000,-125.000000,0.000000,bottom
"D15","1N4148W","D_SOD-123",-81.000000,-66.000000,0.000000,bottom
"D16","1N4148W","D_SOD-123",-81.000000,-83.000000,0.000000,bottom
"D17","1N4148W","D_SOD-123",-81.000000,-100.000000,0.000000,bottom
"D18","1N4148W","D_SOD-123",-88.000000,-122.000000,0.000000,bottom
"D19","1N4148W","D_SOD-123",-230.000000,-66.000000,0.000000,bottom
"D20","1N4148W","D_SOD-123",-230.000000,-83.000000,0.000000,bottom
"D21","1N4148W","D_SOD-123",-230.000000,-100.000000,0.000000,bottom
"D22","1N4148W","D_SOD-123",-223.000000,-122.000000,0.000000,bottom
"D23","1N4148W","D_SOD-123",-99.000000,-69.000000,0.000000,bottom
"D24","1N4148W","D_SOD-123",-99.000000,-86.000000,0.000000,bottom
"D25","1N4148W","D_SOD-123",-99.000000,-103.000000,0.000000,bottom
"D26","1N4148W","D_SOD-123",-109.000000,-125.000000,0.000000,bottom
"D27","1N4148W","D_SOD-123",-248.000000,-69.000000,0.000000,bottom
"D28","1N4148W","D_SOD-123",-248.000000,-86.000000,0.000000,bottom
"D29","1N4148W","D_SOD-123",-248.000000,-103.000000,0.000000,bottom
"D30","1N4148W","D_SOD-123",-117.000000,-72.000000,0.000000,bottom
"D31","1N4148W","D_SOD-123",-117.000000,-89.000000,0.000000,bottom
"D32","1N4148W","D_SOD-123",-117.000000,-106.000000,0.000000,bottom
"D33","1N4148W","D_SOD-123",-131.000000,-129.000000,0.000000,bottom
"D34","1N4148W","D_SOD-123",-266.000000,-74.000000,0.000000,bottom
"D35","1N4148W","D_SOD-123",-266.000000,-91.000000,0.000000,bottom
